Enable,Playlist Name,Channel Name,Group Title,TVG Id,TVG Name,Duration,Stream URL,TVG Logo,Metadata
1,CTG Fun Tamil Movies,100 Crores (2024) Telugu 720p WEBRip x264 ESub [DDN],Tamil Movies,,,-1,https://ftp.ctgfun.com/Indian/South%20Indian%20Movies/100%20Crores%20%282024%29%20Telugu%20720p%20WEBRip%20x264%20ESub%20%5BDDN%5D/100%20Crores%20%282024%29%20Telugu%20720p%20WEBRip%20x264%20ESub%20%5BDDN%5D.mp4,https://image.tmdb.org/t/p/w1280/1MvuU7EoCNrgIwblc38ctdpLUUu.jpg,[]
1,CTG Fun Tamil Movies 2024,100 Crores (2024) Telugu HQ PreDVD 720p x264 [DDN],Tamil Movies 2024,,,-1,https://data.ctgfun.com/disk10/disk10/New%20South%20Indian%20Movies/100%20Crores%20%282024%29%20Telugu%20HQ%20PreDVD%20-%20720p%20-%20x264%20%5BDDN%5D/100%20Crores%20%282024%29%20Telugu%20HQ%20PreDVD%20-%20720p%20-%20x264%20%5BDDN%5D.mp4,https://image.tmdb.org/t/p/w1280/1MvuU7EoCNrgIwblc38ctdpLUUu.jpg,[]
1,CTG Fun Hindi Movies,120 Bahadur (2025) Hindi 720p WEBRip x264 ESub [DDN],Hindi Movies,,,-1,https://ftp.ctgfun.com/Indian/Hindi%20Movies/120%20Bahadur%20%282025%29%20Hindi%20720p%20WEBRip%20x264%20ESub%20%5BDDN%5D/120%20Bahadur%20%282025%29%20Hindi%20720p%20WEBRip%20x264%20ESub%20%5BDDN%5D.mp4,https://image.tmdb.org/t/p/w1280/xxY1udGvueqd1oPl2wmeuFOUF5d.jpg,[]
1,CTG Fun Hindi Movies,120 Bahadur (2025) Hindi 720p WEBRip x264 ESub [DDN] mp4,Hindi Movies,,,-1,https://ftp.ctgfun.com/Indian/Hindi%20Movies/120%20Bahadur%20%282025%29%20Hindi%20720p%20WEBRip%20x264%20ESub%20%5BDDN%5D/120%20Bahadur%20%282025%29%20Hindi%20720p%20WEBRip%20x264%20ESub%20%5BDDN%5D.mp4.mp4,https://image.tmdb.org/t/p/w1280/xxY1udGvueqd1oPl2wmeuFOUF5d.jpg,[]
1,CTG Fun Tamil Movies,1888 (2024) Kannada 720p WEBRip x264 ESub [DDN],Tamil Movies,,,-1,https://ftp.ctgfun.com/Indian/South%20Indian%20Movies/1888%20%282024%29%20Kannada%20720p%20WEBRip%20x264%20ESub%20%5BDDN%5D/1888%20%282024%29%20Kannada%20720p%20WEBRip%20x264%20ESub%20%5BDDN%5D.mp4,,[]
1,CTG Fun English Movies 2021-26,2073 2024 1080p WEBRip x264 [DDN],English Movies All,,,-1,https://movie.ctgfun.com/disk1/English%20Movies/2024/2073.2024.1080p.WEBRip.x264%20%5bDDN%5d/2073.2024.1080p.WEBRip.x264%20%5bDDN%5d.mp4,,[]
1,CTG Fun English Movies Old,2073 2024 1080p WEBRip x264 [DDN],English Movies Old,,,-1,https://ftp.ctgfun.com/English/2073.2024.1080p.WEBRip.x264%20%5BDDN%5D/2073.2024.1080p.WEBRip.x264%20%5BDDN%5D.mp4,,[]
1,CTG Fun Tamil Movies FHD,28 Degree Celsius (2025) Hindi Telugu 1080p WEBRip x264 ESub [DDN],Tamil Movies FHD,,,-1,https://data.ctgfun.com/disk10/disk10/MOVIES%201080p/SOUTH/28%20Degree%20Celsius%20%282025%29%20Hindi%20Telugu%201080p%20WEBRip%20x264%20ESub%20%5BDDN%5D/28%20Degree%20Celsius%20%282025%29%20Hindi%20Telugu%201080p%20WEBRip%20x264%20ESub%20%5BDDN%5D.mkv,https://image.tmdb.org/t/p/w1280/6TBV2xzcN8mAvjmt4ttKfVogHqY.jpg,[]
1,CTG Fun Tamil Movies,28 Degree Celsius (2025) Hindi Telugu 720p WEBRip x264 ESub [DDN],Tamil Movies,,,-1,https://ftp.ctgfun.com/Indian/South%20Indian%20Movies/28%20Degree%20Celsius%20%282025%29%20Hindi%20Telugu%20720p%20WEBRip%20x264%20ESub%20%5BDDN%5D/28%20Degree%20Celsius%20%282025%29%20Hindi%20Telugu%20720p%20WEBRip%20x264%20ESub%20%5BDDN%5D.mp4,https://image.tmdb.org/t/p/w1280/6TBV2xzcN8mAvjmt4ttKfVogHqY.jpg,[]
1,CTG Fun English Movies FHD,28 Years Later 2025 1080p WEBRip x264 [DDN],English Movies FHD,,,-1,https://data.ctgfun.com/disk10/disk10/MOVIES%201080p/ENGLISH/28.Years.Later.2025.1080p.WEBRip.x264%20%5BDDN%5D/28.Years.Later.2025.1080p.WEBRip.x264%20%5BDDN%5D.mp4,https://image.tmdb.org/t/p/w1280/6WqqEjiycNvDLjbEClM1zCwIbDD.jpg,[]
