Enable,Playlist Name,Channel Name,Group Title,TVG Id,TVG Name,Duration,Stream URL,TVG Logo,Metadata
1,CTG Fun TV Series New,( 1 ) Meet The Boy,TV Series A2,,,-1,https://movie.ctgfun.com/disk9/TV%20SERIES/Meet%20Cute/Meet%20Cute%20S01%20Hindi%20Telugu%20720p%20WEBRip%20x264%20ESub%20%5bDDN%5d/(%201%20)%20Meet%20The%20Boy.mkv,,[]
1,CTG Fun TV Series New,( 2 ) Old Is Gold,TV Series A2,,,-1,https://movie.ctgfun.com/disk9/TV%20SERIES/Meet%20Cute/Meet%20Cute%20S01%20Hindi%20Telugu%20720p%20WEBRip%20x264%20ESub%20%5bDDN%5d/(%202%20)%20Old%20Is%20Gold.mkv,,[]
1,CTG Fun TV Series New,( 3 ) In L(aw)Ove,TV Series A,,,-1,https://movie.ctgfun.com/disk9/TV%20SERIES/Meet%20Cute/Meet%20Cute%20S01%20Hindi%20Telugu%20720p%20WEBRip%20x264%20ESub%20%5bDDN%5d/(%203%20)%20In%20L(aw)Ove.mkv,,[]
1,CTG Fun TV Series New,( 4 ) Star Struck,TV Series A,,,-1,https://movie.ctgfun.com/disk9/TV%20SERIES/Meet%20Cute/Meet%20Cute%20S01%20Hindi%20Telugu%20720p%20WEBRip%20x264%20ESub%20%5bDDN%5d/(%204%20)%20Star%20Struck.mkv,,[]
1,CTG Fun TV Series New,( 5 ) Ex Girlfriend,TV Series A,,,-1,https://movie.ctgfun.com/disk9/TV%20SERIES/Meet%20Cute/Meet%20Cute%20S01%20Hindi%20Telugu%20720p%20WEBRip%20x264%20ESub%20%5bDDN%5d/(%205%20)%20Ex-Girlfriend.mkv,,[]
1,CTG Fun TV Series New,(1) Identical Stranger E01,TV Series A,,,-1,https://movie.ctgfun.com/disk9/TV%20SERIES/Samantar/Samantar%20S01%20MX%20Original%20Hindi%20720p%20WEBRip%20x264%20%5bDDN%5d/(1)%20Identical%20Stranger%20E01.mkv,,[]
1,CTG Fun TV Series New,(2) Mishap E02,TV Series A,,,-1,https://movie.ctgfun.com/disk9/TV%20SERIES/Samantar/Samantar%20S01%20MX%20Original%20Hindi%20720p%20WEBRip%20x264%20%5bDDN%5d/(2)%20Mishap%20E02.mkv,,[]
1,CTG Fun TV Series New,(3) Switch E03,TV Series A2,,,-1,https://movie.ctgfun.com/disk9/TV%20SERIES/Samantar/Samantar%20S01%20MX%20Original%20Hindi%20720p%20WEBRip%20x264%20%5bDDN%5d/(3)%20Switch%20E03.mkv,,[]
1,CTG Fun TV Series New,(4) Blue Moon Cottage E04,TV Series A2,,,-1,https://movie.ctgfun.com/disk9/TV%20SERIES/Samantar/Samantar%20S01%20MX%20Original%20Hindi%20720p%20WEBRip%20x264%20%5bDDN%5d/(4)%20Blue%20Moon%20Cottage%20E04.mkv,,[]
1,CTG Fun TV Series New,(5) The Finding E05,TV Series A,,,-1,https://movie.ctgfun.com/disk9/TV%20SERIES/Samantar/Samantar%20S01%20MX%20Original%20Hindi%20720p%20WEBRip%20x264%20%5bDDN%5d/(5)%20The%20Finding%20E05.mkv,,[]
1,CTG Fun TV Series New,(6) Sudarshan Chakrapani E06,TV Series A,,,-1,https://movie.ctgfun.com/disk9/TV%20SERIES/Samantar/Samantar%20S01%20MX%20Original%20Hindi%20720p%20WEBRip%20x264%20%5bDDN%5d/(6)%20Sudarshan%20Chakrapani%20E06.mkv,,[]
1,CTG Fun TV Series New,(7) Past Life Crisis E07,TV Series A,,,-1,https://movie.ctgfun.com/disk9/TV%20SERIES/Samantar/Samantar%20S01%20MX%20Original%20Hindi%20720p%20WEBRip%20x264%20%5bDDN%5d/(7)%20Past%20Life%20Crisis%20E07.mkv,,[]
1,CTG Fun TV Series New,(8) The Diaries E08,TV Series A2,,,-1,https://movie.ctgfun.com/disk9/TV%20SERIES/Samantar/Samantar%20S01%20MX%20Original%20Hindi%20720p%20WEBRip%20x264%20%5bDDN%5d/(8)%20The%20Diaries%20E08.mkv,,[]
1,CTG Fun TV Series New,(9) Twist E09,TV Series A,,,-1,https://movie.ctgfun.com/disk9/TV%20SERIES/Samantar/Samantar%20S01%20MX%20Original%20Hindi%20720p%20WEBRip%20x264%20%5bDDN%5d/(9)%20Twist%20E09.mkv,,[]
1,CTG Fun TV Series New2,1 Percent of Something S01E01,TV Series B,,720p WEB DL x264 [DDN],-1,https://movie.ctgfun.com/disk8/TV%20SERIES%20-%20PART%20TWO/1%20Percent%20of%20Something/1.Percent.of.Something.S01.720p.WEB-D.x264%20%5bDDN%5d/1.Percent.of.Something.S01E01.720p.WEB-DL.x264%20%5bDDN%5d.mkv,,[]
1,CTG Fun TV Series New2,1 Percent of Something S01E02,TV Series B,,720p WEB DL x264 [DDN],-1,https://movie.ctgfun.com/disk8/TV%20SERIES%20-%20PART%20TWO/1%20Percent%20of%20Something/1.Percent.of.Something.S01.720p.WEB-D.x264%20%5bDDN%5d/1.Percent.of.Something.S01E02.720p.WEB-DL.x264%20%5bDDN%5d.mkv,,[]
1,CTG Fun TV Series New2,1 Percent of Something S01E03,TV Series B2,,720p WEB DL x264 [DDN],-1,https://movie.ctgfun.com/disk8/TV%20SERIES%20-%20PART%20TWO/1%20Percent%20of%20Something/1.Percent.of.Something.S01.720p.WEB-D.x264%20%5bDDN%5d/1.Percent.of.Something.S01E03.720p.WEB-DL.x264%20%5bDDN%5d.mkv,,[]
1,CTG Fun TV Series New2,1 Percent of Something S01E04,TV Series B,,720p WEB DL x264 [DDN],-1,https://movie.ctgfun.com/disk8/TV%20SERIES%20-%20PART%20TWO/1%20Percent%20of%20Something/1.Percent.of.Something.S01.720p.WEB-D.x264%20%5bDDN%5d/1.Percent.of.Something.S01E04.720p.WEB-DL.x264%20%5bDDN%5d.mkv,,[]
1,CTG Fun TV Series New2,1 Percent of Something S01E05,TV Series B,,720p WEB DL x264 [DDN],-1,https://movie.ctgfun.com/disk8/TV%20SERIES%20-%20PART%20TWO/1%20Percent%20of%20Something/1.Percent.of.Something.S01.720p.WEB-D.x264%20%5bDDN%5d/1.Percent.of.Something.S01E05.720p.WEB-DL.x264%20%5bDDN%5d.mkv,,[]
1,CTG Fun TV Series New2,1 Percent of Something S01E06,TV Series B,,720p WEB DL x264 [DDN],-1,https://movie.ctgfun.com/disk8/TV%20SERIES%20-%20PART%20TWO/1%20Percent%20of%20Something/1.Percent.of.Something.S01.720p.WEB-D.x264%20%5bDDN%5d/1.Percent.of.Something.S01E06.720p.WEB-DL.x264%20%5bDDN%5d.mkv,,[]
1,CTG Fun TV Series New2,1 Percent of Something S01E07,TV Series B2,,720p WEB DL x264 [DDN],-1,https://movie.ctgfun.com/disk8/TV%20SERIES%20-%20PART%20TWO/1%20Percent%20of%20Something/1.Percent.of.Something.S01.720p.WEB-D.x264%20%5bDDN%5d/1.Percent.of.Something.S01E07.720p.WEB-DL.x264%20%5bDDN%5d.mkv,,[]
1,CTG Fun TV Series New2,1 Percent of Something S01E08,TV Series B2,,720p WEB DL x264 [DDN],-1,https://movie.ctgfun.com/disk8/TV%20SERIES%20-%20PART%20TWO/1%20Percent%20of%20Something/1.Percent.of.Something.S01.720p.WEB-D.x264%20%5bDDN%5d/1.Percent.of.Something.S01E08.720p.WEB-DL.x264%20%5bDDN%5d.mkv,,[]
1,CTG Fun TV Series New2,1 Percent of Something S01E09,TV Series B,,720p WEB DL x264 [DDN],-1,https://movie.ctgfun.com/disk8/TV%20SERIES%20-%20PART%20TWO/1%20Percent%20of%20Something/1.Percent.of.Something.S01.720p.WEB-D.x264%20%5bDDN%5d/1.Percent.of.Something.S01E09.720p.WEB-DL.x264%20%5bDDN%5d.mkv,,[]
1,CTG Fun TV Series New2,1 Percent of Something S01E10,TV Series B2,,720p WEB DL x264 [DDN],-1,https://movie.ctgfun.com/disk8/TV%20SERIES%20-%20PART%20TWO/1%20Percent%20of%20Something/1.Percent.of.Something.S01.720p.WEB-D.x264%20%5bDDN%5d/1.Percent.of.Something.S01E10.720p.WEB-DL.x264%20%5bDDN%5d.mkv,,[]
1,CTG Fun TV Series New2,1 Percent of Something S01E11,TV Series B,,720p WEB DL x264 [DDN],-1,https://movie.ctgfun.com/disk8/TV%20SERIES%20-%20PART%20TWO/1%20Percent%20of%20Something/1.Percent.of.Something.S01.720p.WEB-D.x264%20%5bDDN%5d/1.Percent.of.Something.S01E11.720p.WEB-DL.x264%20%5bDDN%5d.mkv,,[]
1,CTG Fun TV Series New2,1 Percent of Something S01E12,TV Series B2,,720p WEB DL x264 [DDN],-1,https://movie.ctgfun.com/disk8/TV%20SERIES%20-%20PART%20TWO/1%20Percent%20of%20Something/1.Percent.of.Something.S01.720p.WEB-D.x264%20%5bDDN%5d/1.Percent.of.Something.S01E12.720p.WEB-DL.x264%20%5bDDN%5d.mkv,,[]
1,CTG Fun TV Series New2,1 Percent of Something S01E13,TV Series B,,720p WEB DL x264 [DDN],-1,https://movie.ctgfun.com/disk8/TV%20SERIES%20-%20PART%20TWO/1%20Percent%20of%20Something/1.Percent.of.Something.S01.720p.WEB-D.x264%20%5bDDN%5d/1.Percent.of.Something.S01E13.720p.WEB-DL.x264%20%5bDDN%5d.mkv,,[]
1,CTG Fun TV Series New2,1 Percent of Something S01E14,TV Series B,,720p WEB DL x264 [DDN],-1,https://movie.ctgfun.com/disk8/TV%20SERIES%20-%20PART%20TWO/1%20Percent%20of%20Something/1.Percent.of.Something.S01.720p.WEB-D.x264%20%5bDDN%5d/1.Percent.of.Something.S01E14.720p.WEB-DL.x264%20%5bDDN%5d.mkv,,[]
1,CTG Fun TV Series New2,1 Percent of Something S01E15,TV Series B,,720p WEB DL x264 [DDN],-1,https://movie.ctgfun.com/disk8/TV%20SERIES%20-%20PART%20TWO/1%20Percent%20of%20Something/1.Percent.of.Something.S01.720p.WEB-D.x264%20%5bDDN%5d/1.Percent.of.Something.S01E15.720p.WEB-DL.x264%20%5bDDN%5d.mkv,,[]
1,CTG Fun TV Series New2,1 Percent of Something S01E16,TV Series B,,720p WEB DL x264 [DDN],-1,https://movie.ctgfun.com/disk8/TV%20SERIES%20-%20PART%20TWO/1%20Percent%20of%20Something/1.Percent.of.Something.S01.720p.WEB-D.x264%20%5bDDN%5d/1.Percent.of.Something.S01E16.720p.WEB-DL.x264%20%5bDDN%5d.mkv,,[]
1,CTG Fun TV Series New3,1000 Babies S01E01,TV Series C,,Hindi Malayalam 1080p WEBRip x264 ESub [DDN],-1,https://movie.ctgfun.com/disk6/TV%20Series%20Part%20Three/1000%20Babies/1000%20Babies%20S01%20Hindi%20Malayalam%201080p%20WEBRip%20x264%20ESub%20%5bDDN%5d/1000.Babies.S01E01.Hindi.Malayalam.1080p.WEBRip.x264.ESub%20%5bDDN%5d.mkv,https://image.tmdb.org/t/p/w1280/50yPSUThPKxeC9FLGQxB6WoY8f2.jpg,[]
1,CTG Fun TV Series Old,1000 Babies S01E01,TV Series Old,,Hindi Malayalam 720p WEBRip x264 ESub [DDN],-1,https://ftp.ctgfun.com/TV_Series/1000%20Babies/1000%20Babies%20S01%20Hindi%20Malayalam%20720p%20WEBRip%20x264%20ESub%20%5BDDN%5D/1000.Babies.S01E01.Hindi.Malayalam.720p.WEBRip.x264.ESub%20%5BDDN%5D.mkv,https://image.tmdb.org/t/p/w1280/50yPSUThPKxeC9FLGQxB6WoY8f2.jpg,[]
1,CTG Fun TV Series New3,1000 Babies S01E02,TV Series C,,Hindi Malayalam 1080p WEBRip x264 ESub [DDN],-1,https://movie.ctgfun.com/disk6/TV%20Series%20Part%20Three/1000%20Babies/1000%20Babies%20S01%20Hindi%20Malayalam%201080p%20WEBRip%20x264%20ESub%20%5bDDN%5d/1000.Babies.S01E02.Hindi.Malayalam.1080p.WEBRip.x264.ESub%20%5bDDN%5d.mkv,https://image.tmdb.org/t/p/w1280/50yPSUThPKxeC9FLGQxB6WoY8f2.jpg,[]
1,CTG Fun TV Series Old,1000 Babies S01E02,TV Series Old,,Hindi Malayalam 720p WEBRip x264 ESub [DDN],-1,https://ftp.ctgfun.com/TV_Series/1000%20Babies/1000%20Babies%20S01%20Hindi%20Malayalam%20720p%20WEBRip%20x264%20ESub%20%5BDDN%5D/1000.Babies.S01E02.Hindi.Malayalam.720p.WEBRip.x264.ESub%20%5BDDN%5D.mkv,https://image.tmdb.org/t/p/w1280/50yPSUThPKxeC9FLGQxB6WoY8f2.jpg,[]
1,CTG Fun TV Series New3,1000 Babies S01E03,TV Series C,,Hindi Malayalam 1080p WEBRip x264 ESub [DDN],-1,https://movie.ctgfun.com/disk6/TV%20Series%20Part%20Three/1000%20Babies/1000%20Babies%20S01%20Hindi%20Malayalam%201080p%20WEBRip%20x264%20ESub%20%5bDDN%5d/1000.Babies.S01E03.Hindi.Malayalam.1080p.WEBRip.x264.ESub%20%5bDDN%5d.mkv,https://image.tmdb.org/t/p/w1280/50yPSUThPKxeC9FLGQxB6WoY8f2.jpg,[]
1,CTG Fun TV Series Old,1000 Babies S01E03,TV Series Old,,Hindi Malayalam 720p WEBRip x264 ESub [DDN],-1,https://ftp.ctgfun.com/TV_Series/1000%20Babies/1000%20Babies%20S01%20Hindi%20Malayalam%20720p%20WEBRip%20x264%20ESub%20%5BDDN%5D/1000.Babies.S01E03.Hindi.Malayalam.720p.WEBRip.x264.ESub%20%5BDDN%5D.mkv,https://image.tmdb.org/t/p/w1280/50yPSUThPKxeC9FLGQxB6WoY8f2.jpg,[]
1,CTG Fun TV Series New3,1000 Babies S01E04,TV Series C,,Hindi Malayalam 1080p WEBRip x264 ESub [DDN],-1,https://movie.ctgfun.com/disk6/TV%20Series%20Part%20Three/1000%20Babies/1000%20Babies%20S01%20Hindi%20Malayalam%201080p%20WEBRip%20x264%20ESub%20%5bDDN%5d/1000.Babies.S01E04.Hindi.Malayalam.1080p.WEBRip.x264.ESub%20%5bDDN%5d.mkv,https://image.tmdb.org/t/p/w1280/50yPSUThPKxeC9FLGQxB6WoY8f2.jpg,[]
1,CTG Fun TV Series Old,1000 Babies S01E04,TV Series Old,,Hindi Malayalam 720p WEBRip x264 ESub [DDN],-1,https://ftp.ctgfun.com/TV_Series/1000%20Babies/1000%20Babies%20S01%20Hindi%20Malayalam%20720p%20WEBRip%20x264%20ESub%20%5BDDN%5D/1000.Babies.S01E04.Hindi.Malayalam.720p.WEBRip.x264.ESub%20%5BDDN%5D.mkv,https://image.tmdb.org/t/p/w1280/50yPSUThPKxeC9FLGQxB6WoY8f2.jpg,[]
1,CTG Fun TV Series New3,1000 Babies S01E05,TV Series C,,Hindi Malayalam 1080p WEBRip x264 ESub [DDN],-1,https://movie.ctgfun.com/disk6/TV%20Series%20Part%20Three/1000%20Babies/1000%20Babies%20S01%20Hindi%20Malayalam%201080p%20WEBRip%20x264%20ESub%20%5bDDN%5d/1000.Babies.S01E05.Hindi.Malayalam.1080p.WEBRip.x264.ESub%20%5bDDN%5d.mkv,https://image.tmdb.org/t/p/w1280/50yPSUThPKxeC9FLGQxB6WoY8f2.jpg,[]
1,CTG Fun TV Series Old,1000 Babies S01E05,TV Series Old,,Hindi Malayalam 720p WEBRip x264 ESub [DDN],-1,https://ftp.ctgfun.com/TV_Series/1000%20Babies/1000%20Babies%20S01%20Hindi%20Malayalam%20720p%20WEBRip%20x264%20ESub%20%5BDDN%5D/1000.Babies.S01E05.Hindi.Malayalam.720p.WEBRip.x264.ESub%20%5BDDN%5D.mkv,https://image.tmdb.org/t/p/w1280/50yPSUThPKxeC9FLGQxB6WoY8f2.jpg,[]
1,CTG Fun TV Series New3,1000 Babies S01E06,TV Series C,,Hindi Malayalam 1080p WEBRip x264 ESub [DDN],-1,https://movie.ctgfun.com/disk6/TV%20Series%20Part%20Three/1000%20Babies/1000%20Babies%20S01%20Hindi%20Malayalam%201080p%20WEBRip%20x264%20ESub%20%5bDDN%5d/1000.Babies.S01E06.Hindi.Malayalam.1080p.WEBRip.x264.ESub%20%5bDDN%5d.mkv,https://image.tmdb.org/t/p/w1280/50yPSUThPKxeC9FLGQxB6WoY8f2.jpg,[]
1,CTG Fun TV Series Old,1000 Babies S01E06,TV Series Old,,Hindi Malayalam 720p WEBRip x264 ESub [DDN],-1,https://ftp.ctgfun.com/TV_Series/1000%20Babies/1000%20Babies%20S01%20Hindi%20Malayalam%20720p%20WEBRip%20x264%20ESub%20%5BDDN%5D/1000.Babies.S01E06.Hindi.Malayalam.720p.WEBRip.x264.ESub%20%5BDDN%5D.mkv,https://image.tmdb.org/t/p/w1280/50yPSUThPKxeC9FLGQxB6WoY8f2.jpg,[]
1,CTG Fun TV Series New3,1000 Babies S01E07,TV Series C,,Hindi Malayalam 1080p WEBRip x264 ESub [DDN],-1,https://movie.ctgfun.com/disk6/TV%20Series%20Part%20Three/1000%20Babies/1000%20Babies%20S01%20Hindi%20Malayalam%201080p%20WEBRip%20x264%20ESub%20%5bDDN%5d/1000.Babies.S01E07.Hindi.Malayalam.1080p.WEBRip.x264.ESub%20%5bDDN%5d.mkv,https://image.tmdb.org/t/p/w1280/50yPSUThPKxeC9FLGQxB6WoY8f2.jpg,[]
1,CTG Fun TV Series Old,1000 Babies S01E07,TV Series Old,,Hindi Malayalam 720p WEBRip x264 ESub [DDN],-1,https://ftp.ctgfun.com/TV_Series/1000%20Babies/1000%20Babies%20S01%20Hindi%20Malayalam%20720p%20WEBRip%20x264%20ESub%20%5BDDN%5D/1000.Babies.S01E07.Hindi.Malayalam.720p.WEBRip.x264.ESub%20%5BDDN%5D.mkv,https://image.tmdb.org/t/p/w1280/50yPSUThPKxeC9FLGQxB6WoY8f2.jpg,[]
1,CTG Fun TV Series New3,11th Hour S01E01,TV Series C,,Hindi 1080p WEBRip x264 ESub [DDN],-1,https://movie.ctgfun.com/disk6/TV%20Series%20Part%20Three/11th%20Hour/11th%20Hour%20S01%20Hindi%201080p%20WEBRip%20x264%20%5bDDN%5d/11th.Hour.S01E01.Hindi.1080p.WEBRip.x264.ESub%20%5bDDN%5d.mkv,https://image.tmdb.org/t/p/w1280/2ul2iF3mKfHRCxnu48KDLXnAaBL.jpg,[]
1,CTG Fun TV Series New3,11th Hour S01E02,TV Series C,,Hindi 1080p WEBRip x264 ESub [DDN],-1,https://movie.ctgfun.com/disk6/TV%20Series%20Part%20Three/11th%20Hour/11th%20Hour%20S01%20Hindi%201080p%20WEBRip%20x264%20%5bDDN%5d/11th.Hour.S01E02.Hindi.1080p.WEBRip.x264.ESub%20%5bDDN%5d.mkv,https://image.tmdb.org/t/p/w1280/2ul2iF3mKfHRCxnu48KDLXnAaBL.jpg,[]
1,CTG Fun TV Series New3,11th Hour S01E03,TV Series C,,Hindi 1080p WEBRip x264 ESub [DDN],-1,https://movie.ctgfun.com/disk6/TV%20Series%20Part%20Three/11th%20Hour/11th%20Hour%20S01%20Hindi%201080p%20WEBRip%20x264%20%5bDDN%5d/11th.Hour.S01E03.Hindi.1080p.WEBRip.x264.ESub%20%5bDDN%5d.mkv,https://image.tmdb.org/t/p/w1280/2ul2iF3mKfHRCxnu48KDLXnAaBL.jpg,[]
1,CTG Fun TV Series New3,11th Hour S01E04,TV Series C,,Hindi 1080p WEBRip x264 ESub [DDN],-1,https://movie.ctgfun.com/disk6/TV%20Series%20Part%20Three/11th%20Hour/11th%20Hour%20S01%20Hindi%201080p%20WEBRip%20x264%20%5bDDN%5d/11th.Hour.S01E04.Hindi.1080p.WEBRip.x264.ESub%20%5bDDN%5d.mkv,https://image.tmdb.org/t/p/w1280/2ul2iF3mKfHRCxnu48KDLXnAaBL.jpg,[]
1,CTG Fun TV Series New3,11th Hour S01E05,TV Series C,,Hindi 1080p WEBRip x264 ESub [DDN],-1,https://movie.ctgfun.com/disk6/TV%20Series%20Part%20Three/11th%20Hour/11th%20Hour%20S01%20Hindi%201080p%20WEBRip%20x264%20%5bDDN%5d/11th.Hour.S01E05.Hindi.1080p.WEBRip.x264.ESub%20%5bDDN%5d.mkv,https://image.tmdb.org/t/p/w1280/2ul2iF3mKfHRCxnu48KDLXnAaBL.jpg,[]
1,CTG Fun TV Series New3,11th Hour S01E06,TV Series C,,Hindi 1080p WEBRip x264 ESub [DDN],-1,https://movie.ctgfun.com/disk6/TV%20Series%20Part%20Three/11th%20Hour/11th%20Hour%20S01%20Hindi%201080p%20WEBRip%20x264%20%5bDDN%5d/11th.Hour.S01E06.Hindi.1080p.WEBRip.x264.ESub%20%5bDDN%5d.mkv,https://image.tmdb.org/t/p/w1280/2ul2iF3mKfHRCxnu48KDLXnAaBL.jpg,[]
1,CTG Fun TV Series New3,11th Hour S01E07,TV Series C,,Hindi 1080p WEBRip x264 ESub [DDN],-1,https://movie.ctgfun.com/disk6/TV%20Series%20Part%20Three/11th%20Hour/11th%20Hour%20S01%20Hindi%201080p%20WEBRip%20x264%20%5bDDN%5d/11th.Hour.S01E07.Hindi.1080p.WEBRip.x264.ESub%20%5bDDN%5d.mkv,https://image.tmdb.org/t/p/w1280/2ul2iF3mKfHRCxnu48KDLXnAaBL.jpg,[]
1,CTG Fun TV Series New3,11th Hour S01E08,TV Series C,,Hindi 1080p WEBRip x264 ESub [DDN],-1,https://movie.ctgfun.com/disk6/TV%20Series%20Part%20Three/11th%20Hour/11th%20Hour%20S01%20Hindi%201080p%20WEBRip%20x264%20%5bDDN%5d/11th.Hour.S01E08.Hindi.1080p.WEBRip.x264.ESub%20%5bDDN%5d.mkv,https://image.tmdb.org/t/p/w1280/2ul2iF3mKfHRCxnu48KDLXnAaBL.jpg,[]
1,CTG Fun TV Series New2,13 Reasons Why Beyond The Reasons 1080p NF WEBRip x265 [DDN],TV Series B,,,-1,https://movie.ctgfun.com/disk8/TV%20SERIES%20-%20PART%20TWO/13%20Reasons%20Why/13.Reasons.Why.S01.1080p.WEBRip.x265%20%5bDDN%5d/13.Reasons.Why.Beyond.The.Reasons.1080p.NF.WEBRip.x265%20%5bDDN%5d.mkv,,[]
