Enable,Playlist Name,Channel Name,Group Title,TVG Id,TVG Name,Duration,Stream URL,TVG Logo,Metadata,Test Result,Error Message
0,TVEPG AIO,[EPG Source],,,,-1,https://avkb.short.gy/epg.xml.gz,,[],SKIPPED,
0,IPTV EPG IN,[EPG Source],,,,-1,https://iptv-epg.org/files/epg-in.xml.gz,,[],SKIPPED,
1,11_FAST_IPTV_Z.m3u,& Picture HD,Indian Hindi,,,-1,https://d1g8wgjurz8via.cloudfront.net/bpk-tv/Andpictureshd/default/index.mpd,https://i.postimg.cc/XJ1SbVzN/20240823_022738.png,"['#KODIPROP:inputstream.adaptive.license_type=clearkey', '#KODIPROP:inputstream.adaptive.license_key=de8045e9f0fb4d03845dcc4a8bd7712a:6807bd09bda34ada83152908192af6d6']",OK,
1,13_SM_Combined.m3u,& Pictures HD,Toffee,,& Pictures HD,-1,https://bldcmprod-cdn.toffeelive.com/cdn/live/andpicture_hd/playlist.m3u8,https://assets-prod.services.toffeelive.com/QMwWnZUBtpl-Sbt7S2sx/posters/8cad9a82-842a-47bf-a060-f17011f11c07.png,"['#KODIPROP:inputstream.adaptive.stream_headers=Host=bldcmprod-cdn.toffeelive.com&cookie=Edge-Cache-Cookie%3DURLPrefix%3DaHR0cHM6Ly9ibGRjbXByb2QtY2RuLnRvZmZlZWxpdmUuY29t:Expires%3D1788739246:KeyName%3Dprod_linear:Signature%3DBoMUIUuOsNmvrWb1c0Q8jH_T5Cp35Ms_U4wmQ0V8VTLRREDi5YBnmHXjJC7IodtD5p3WMVxHDwZwNMdtD06JBQ&user-agent=okhttp/5.1.0&client-api-header=null&accept-encoding=gzip', '#EXTVLCOPT:http-user-agent=okhttp/5.1.0', '#EXTHTTP:{""Host"": ""bldcmprod-cdn.toffeelive.com"", ""cookie"": ""Edge-Cache-Cookie=URLPrefix=aHR0cHM6Ly9ibGRjbXByb2QtY2RuLnRvZmZlZWxpdmUuY29t:Expires=1788739246:KeyName=prod_linear:Signature=BoMUIUuOsNmvrWb1c0Q8jH_T5Cp35Ms_U4wmQ0V8VTLRREDi5YBnmHXjJC7IodtD5p3WMVxHDwZwNMdtD06JBQ"", ""client-api-header"": ""null"", ""accept-encoding"": ""gzip""}']",OK,
1,12_Sydul104_My.m3u,&Pictures,Hindi,0-9-pictures,,-1,https://stream.ottplus.bd/live/and_picture_hd_abr/live/and_picture_hd_720/chunks.m3u8,https://www.tsbi.in/wp-content/uploads/2020/10/Webp.net-resizeimage.png,['#https://d1g8wgjurz8via.cloudfront.net/bpk-tv/Andpictureshd/default/index.mpd'],OK,
1,15_IPTV_Org_IN.m3u,&Pictures (720p),Movies,Andpictures.in@SD,,-1,https://tvsen3.aynaott.com/jzT482XQ/index.m3u8,https://dtil.tmsimg.com/assets/GNLZZGG002FYK4V.png?lock=720x540,[],FAILED,Timeout on reading data from socket
1,15_IPTV_Org_IN.m3u,&TV HD (1080p),Movies,AndTV.in@HD,,-1,http://202.70.146.135:8000/play/a06c/index.m3u8,https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_SYMANDTV/images/LOGO_HD/LOGO_HD_image.png,[],OK,
1,15_IPTV_Org_IN.m3u,&Xplor HD (1080p),Movies,AndxplorHD.in@HD,,-1,http://66.102.126.10:8000/play/a028/index.m3u8,https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_SYMANDXPLOR_HD/images/LOGO_HD/LOGO_HD_image.png,[],OK,
1,15_IPTV_Org_IN.m3u,7S Music (576p),Music,7SMusic.in@SD,,-1,https://mumt03.tangotv.in/Dsly5z3H7SMUSIC/index.m3u8,https://i.imgur.com/zDiIhdN.png,[],OK,
1,11_FAST_IPTV_Z.m3u,8xm,Music,,,-1,https://vodzong.mjunoon.tv:8087/streamtest/8XM-131/playlist.m3u8,https://i.postimg.cc/4ythzNmp/KLrf-KRn.png,[],OK,
1,00_Live_Streams.m3u,9X Jalwa,Music,440,,-1,https://d1g8wgjurz8via.cloudfront.net/bpk-tv/9xjalwa2/default/main.mpd,https://jiotvimages.cdn.jio.com/dare_images/images/9X_Jalwa.png,[],OK,
